,LocationDesc,Data_Value_Alt,Cluster
684,Illinois,266.0,0
685,Illinois,74.0,1
686,Illinois,18.0,1
687,Illinois,54.0,1
688,Illinois,207.0,0
689,Illinois,62.0,1
690,Illinois,182.0,0
691,Illinois,439.0,4
692,Illinois,140.0,0
693,Illinois,154.0,0
694,Illinois,23.0,1
695,Illinois,18.0,1
696,Illinois,69.0,1
697,Illinois,12.0,1
698,Illinois,145.0,0
699,Illinois,114.0,0
700,Illinois,21.0,1
701,Illinois,36.0,1
702,Illinois,27.0,1
703,Illinois,44.0,1
704,Illinois,143.0,0
705,Illinois,36.0,1
706,Illinois,188.0,0
707,Illinois,315.0,4
708,Illinois,87.0,1
709,Illinois,91.0,1
710,Illinois,164.0,0
711,Illinois,221.0,0
712,Indiana,17.0,1
713,Indiana,51.0,1
714,Indiana,156.0,0
715,Indiana,290.0,0
716,Indiana,178.0,0
717,Indiana,58.0,1
718,Indiana,12.0,1
719,Indiana,28.0,1
720,Indiana,11.0,1
721,Indiana,18.0,1
722,Indiana,160.0,0
723,Indiana,39.0,1
724,Indiana,197.0,0
725,Indiana,47.0,1
726,Indiana,11.0,1
727,Indiana,51.0,1
728,Indiana,25.0,1
729,Indiana,93.0,1
730,Indiana,129.0,0
731,Indiana,316.0,4
732,Indiana,29.0,1
733,Indiana,131.0,0
734,Indiana,27.0,1
735,Indiana,111.0,1
736,Indiana,75.0,1
737,Indiana,23.0,1
738,Indiana,28.0,1
739,Indiana,111.0,1
740,Indiana,139.0,0
741,New Hampshire,35.0,1
742,Indiana,17.0,1
743,Indiana,51.0,1
744,Indiana,156.0,0
745,Indiana,290.0,0
746,Indiana,178.0,0
747,Indiana,58.0,1
748,Indiana,12.0,1
749,Indiana,28.0,1
750,Indiana,11.0,1
751,Indiana,18.0,1
752,Indiana,160.0,0
753,Indiana,39.0,1
754,Indiana,197.0,0
755,Indiana,47.0,1
756,Indiana,11.0,1
757,Indiana,51.0,1
758,Indiana,25.0,1
759,Indiana,93.0,1
760,Indiana,129.0,0
761,Indiana,316.0,4
762,Indiana,57.0,1
763,Indiana,16.0,1
764,Indiana,13.0,1
765,Indiana,26.0,1
766,Indiana,15.0,1
767,Indiana,77.0,1
768,Indiana,126.0,0
769,Indiana,77.0,1
770,Indiana,43.0,1
771,Indiana,48.0,1
772,Indiana,111.0,1
773,Indiana,139.0,0
774,Iowa,27.0,1
775,Iowa,54.0,1
776,Iowa,22.0,1
777,Iowa,78.0,1
778,Iowa,10.0,1
779,Iowa,26.0,1
780,Iowa,21.0,1
781,Iowa,92.0,1
782,Iowa,13.0,1
783,Iowa,45.0,1
784,Iowa,151.0,0
785,Iowa,72.0,1
786,Iowa,17.0,1
787,Iowa,22.0,1
788,Iowa,88.0,1
789,Iowa,49.0,1
790,Iowa,85.0,1
791,Iowa,13.0,1
792,Iowa,14.0,1
793,Iowa,31.0,1
794,Iowa,39.0,1
795,Iowa,27.0,1
796,Iowa,54.0,1
797,Iowa,22.0,1
798,Iowa,78.0,1
799,Iowa,10.0,1
800,Iowa,26.0,1
801,Iowa,21.0,1
802,Iowa,92.0,1
803,Iowa,13.0,1
804,Iowa,45.0,1
805,Iowa,151.0,0
806,Iowa,72.0,1
807,Iowa,32.0,1
808,Iowa,11.0,1
809,Iowa,12.0,1
810,Iowa,52.0,1
811,Iowa,61.0,1
812,Iowa,79.0,1
813,Iowa,23.0,1
814,Iowa,24.0,1
815,Iowa,31.0,1
816,Iowa,39.0,1
817,Kansas,35.0,1
818,Kansas,54.0,1
819,Kansas,23.0,1
820,Kansas,74.0,1
821,Kansas,15.0,1
822,Kansas,52.0,1
823,Kansas,26.0,1
824,Kansas,98.0,1
825,Kansas,140.0,0
826,Kansas,56.0,1
827,Kansas,14.0,1
828,Kansas,13.0,1
829,Kansas,58.0,1
830,Kansas,27.0,1
831,Kansas,46.0,1
832,Kansas,10.0,1
833,Kansas,11.0,1
834,Kansas,36.0,1
835,Kansas,47.0,1
836,Kansas,35.0,1
837,Kansas,54.0,1
838,Kansas,23.0,1
839,Kansas,74.0,1
840,Kansas,15.0,1
841,Kansas,52.0,1
842,Kansas,26.0,1
843,Kansas,98.0,1
844,Kansas,140.0,0
845,Kansas,56.0,1
846,Kansas,27.0,1
847,Kansas,33.0,1
848,Kansas,46.0,1
849,Kansas,19.0,1
850,Kansas,20.0,1
851,Kansas,36.0,1
852,Kansas,47.0,1
853,Kentucky,146.0,0
854,Kentucky,248.0,0
855,Kentucky,150.0,0
856,Kentucky,44.0,1
857,Kentucky,11.0,1
858,Kentucky,16.0,1
859,Kentucky,27.0,1
860,Kentucky,95.0,1
861,Kentucky,147.0,0
862,Kentucky,36.0,1
863,Kentucky,16.0,1
864,Kentucky,60.0,1
865,Kentucky,12.0,1
866,Kentucky,57.0,1
867,Kentucky,218.0,0
868,Kentucky,74.0,1
869,Kentucky,20.0,1
870,Kentucky,18.0,1
871,Kentucky,86.0,1
872,Kentucky,61.0,1
873,Kentucky,66.0,1
874,Kentucky,16.0,1
875,Kentucky,18.0,1
876,Kentucky,123.0,0
877,Kentucky,98.0,1
878,Kentucky,146.0,0
879,Kentucky,248.0,0
880,Kentucky,150.0,0
881,Kentucky,44.0,1
882,Kentucky,11.0,1
883,Kentucky,16.0,1
884,Kentucky,27.0,1
885,Kentucky,95.0,1
886,Kentucky,147.0,0
887,Kentucky,36.0,1
888,Kentucky,16.0,1
889,Kentucky,60.0,1
890,Kentucky,12.0,1
891,Kentucky,57.0,1
892,Kentucky,218.0,0
893,Kentucky,74.0,1
894,Kentucky,36.0,1
895,Kentucky,10.0,1
896,Kentucky,51.0,1
897,Kentucky,46.0,1
898,Kentucky,98.0,1
899,Kentucky,28.0,1
900,Kentucky,30.0,1
901,Kentucky,123.0,0
902,Kentucky,98.0,1
903,Louisiana,102.0,1
904,Louisiana,198.0,0
905,Louisiana,218.0,0
906,Louisiana,63.0,1
907,Louisiana,234.0,0
908,Louisiana,46.0,1
909,Louisiana,132.0,0
910,Louisiana,36.0,1
911,Louisiana,160.0,0
912,Louisiana,68.0,1
913,Louisiana,27.0,1
914,Louisiana,23.0,1
915,Louisiana,92.0,1
916,Louisiana,104.0,1
917,Louisiana,78.0,1
918,Louisiana,17.0,1
919,Louisiana,20.0,1
920,Louisiana,11.0,1
921,Louisiana,18.0,1
922,Louisiana,101.0,1
923,Louisiana,72.0,1
924,Louisiana,102.0,1
925,Louisiana,198.0,0
926,Louisiana,218.0,0
927,Louisiana,63.0,1
928,Louisiana,234.0,0
929,Louisiana,46.0,1
930,Louisiana,132.0,0
931,Louisiana,36.0,1
932,Louisiana,160.0,0
933,Louisiana,68.0,1
934,Louisiana,48.0,1
935,Louisiana,11.0,1
936,Louisiana,13.0,1
937,Louisiana,54.0,1
938,Louisiana,129.0,0
939,Louisiana,74.0,1
940,Louisiana,31.0,1
941,Louisiana,33.0,1
942,Louisiana,101.0,1
943,Louisiana,72.0,1
944,Maine,26.0,1
945,Maine,67.0,1
946,Maine,14.0,1
947,Maine,39.0,1
948,Maine,12.0,1
949,Maine,49.0,1
950,Maine,11.0,1
951,Maine,31.0,1
952,Maine,37.0,1
953,Maine,74.0,1
954,Maine,11.0,1
955,Maine,11.0,1
956,Maine,35.0,1
957,Maine,19.0,1
958,Maine,32.0,1
959,Maine,24.0,1
960,Maine,31.0,1
961,Maine,26.0,1
962,Maine,67.0,1
963,Maine,14.0,1
964,Maine,39.0,1
965,Maine,12.0,1
966,Maine,49.0,1
967,Maine,11.0,1
968,Maine,31.0,1
969,Maine,37.0,1
970,Maine,74.0,1
971,Maine,19.0,1
972,Maine,23.0,1
973,Maine,30.0,1
974,Maine,24.0,1
975,Maine,31.0,1
976,Maryland,162.0,0
977,Maryland,415.0,4
978,Maryland,149.0,0
979,Maryland,39.0,1
980,Maryland,13.0,1
981,Maryland,32.0,1
982,Maryland,228.0,0
983,Maryland,33.0,1
984,Maryland,114.0,0
985,Maryland,32.0,1
986,Maryland,19.0,1
987,Maryland,50.0,1
988,Maryland,139.0,0
989,Maryland,63.0,1
990,Maryland,35.0,1
991,Maryland,35.0,1
992,Maryland,85.0,1
993,Maryland,133.0,0
994,Maryland,92.0,1
995,Maryland,17.0,1
996,Maryland,21.0,1
997,Maryland,17.0,1
998,Maryland,19.0,1
999,Maryland,101.0,1
1000,Maryland,69.0,1
1001,Maryland,162.0,0
1002,Maryland,415.0,4
1003,Maryland,149.0,0
1004,Maryland,39.0,1
1005,Maryland,13.0,1
1006,Maryland,32.0,1
1007,Maryland,228.0,0
1008,Maryland,33.0,1
1009,Maryland,114.0,0
1010,Maryland,32.0,1
1011,Maryland,19.0,1
1012,Maryland,50.0,1
1013,Maryland,139.0,0
1014,Maryland,63.0,1
1015,Maryland,64.0,1
1016,Maryland,14.0,1
1017,Maryland,11.0,1
1018,Maryland,17.0,1
1019,Maryland,19.0,1
1020,Maryland,49.0,1
1021,Maryland,168.0,0
1022,Maryland,95.0,1
1023,Maryland,32.0,1
1024,Maryland,37.0,1
