,LocationDesc,Data_Value_Alt_cluster,Cluster,Data_Value_Alt_state_avg
300,Alaska,28.0,0,250.17521367521368
301,Alaska,11.0,0,250.17521367521368
302,Alaska,12.0,0,250.17521367521368
303,Alaska,13.0,0,250.17521367521368
304,Alaska,24.0,0,250.17521367521368
305,Alaska,35.0,0,250.17521367521368
306,Alaska,11.0,0,250.17521367521368
307,Alaska,30.0,0,250.17521367521368
308,Alaska,12.0,0,250.17521367521368
309,Alaska,29.0,0,250.17521367521368
310,Alaska,10.0,0,250.17521367521368
311,Alaska,11.0,0,250.17521367521368
312,Alaska,19.0,0,250.17521367521368
313,Alaska,36.0,0,250.17521367521368
314,Alaska,47.0,0,250.17521367521368
315,Alaska,12.0,0,250.17521367521368
316,Alaska,19.0,0,250.17521367521368
317,Alaska,12.0,0,250.17521367521368
318,Alaska,22.0,0,250.17521367521368
319,Alaska,14.0,0,250.17521367521368
320,Alaska,25.0,0,250.17521367521368
321,Alaska,41.0,0,250.17521367521368
322,Alaska,44.0,0,250.17521367521368
323,Alaska,46.0,0,250.17521367521368
324,Alaska,90.0,0,250.17521367521368
325,Alaska,16.0,0,250.17521367521368
326,Alaska,18.0,0,250.17521367521368
327,Alaska,206.0,0,250.17521367521368
328,Alaska,240.0,0,250.17521367521368
329,Alaska,446.0,3,250.17521367521368
330,Alaska,206.0,0,250.17521367521368
331,Alaska,227.0,0,250.17521367521368
332,Alaska,433.0,0,250.17521367521368
333,Alaska,17.0,0,250.17521367521368
334,Alaska,0.0,0,250.17521367521368
335,Alaska,17.0,0,250.17521367521368
336,Alaska,60.0,0,250.17521367521368
337,Alaska,93.0,0,250.17521367521368
338,Alaska,153.0,0,250.17521367521368
339,Alaska,60.0,0,250.17521367521368
340,Alaska,91.0,0,250.17521367521368
341,Alaska,151.0,0,250.17521367521368
342,Alaska,5.0,0,250.17521367521368
343,Alaska,0.0,0,250.17521367521368
344,Alaska,5.0,0,250.17521367521368
345,Alaska,146.0,0,250.17521367521368
346,Alaska,146.0,0,250.17521367521368
347,Alaska,293.0,0,250.17521367521368
348,Alaska,146.0,0,250.17521367521368
349,Alaska,136.0,0,250.17521367521368
350,Alaska,283.0,0,250.17521367521368
351,Alaska,12.0,0,250.17521367521368
352,Alaska,0.0,0,250.17521367521368
353,Alaska,12.0,0,250.17521367521368
354,Alaska,13.0,0,250.17521367521368
355,Alaska,0.0,0,250.17521367521368
356,Alaska,13.0,0,250.17521367521368
357,Alaska,13.0,0,250.17521367521368
358,Alaska,0.0,0,250.17521367521368
359,Alaska,13.0,0,250.17521367521368
360,Alaska,70.0,0,250.17521367521368
361,Alaska,16.0,0,250.17521367521368
362,Alaska,87.0,0,250.17521367521368
363,Alaska,70.0,0,250.17521367521368
364,Alaska,16.0,0,250.17521367521368
365,Alaska,86.0,0,250.17521367521368
366,Alaska,57.0,0,250.17521367521368
367,Alaska,42.0,0,250.17521367521368
368,Alaska,99.0,0,250.17521367521368
369,Alaska,57.0,0,250.17521367521368
370,Alaska,41.0,0,250.17521367521368
371,Alaska,97.0,0,250.17521367521368
372,Alaska,51.0,0,250.17521367521368
373,Alaska,103.0,0,250.17521367521368
374,Alaska,153.0,0,250.17521367521368
375,Alaska,51.0,0,250.17521367521368
376,Alaska,98.0,0,250.17521367521368
377,Alaska,149.0,0,250.17521367521368
378,Alaska,16.0,0,250.17521367521368
379,Alaska,78.0,0,250.17521367521368
380,Alaska,95.0,0,250.17521367521368
381,Alaska,16.0,0,250.17521367521368
382,Alaska,72.0,0,250.17521367521368
383,Alaska,88.0,0,250.17521367521368
384,Arizona,10.0,0,1879.2918662077223
385,Arizona,105.0,0,1879.2918662077223
386,Arizona,24.0,0,1879.2918662077223
387,Arizona,36.0,0,1879.2918662077223
388,Arizona,38.0,0,1879.2918662077223
389,Arizona,81.0,0,1879.2918662077223
390,Arizona,12.0,0,1879.2918662077223
391,Arizona,120.0,0,1879.2918662077223
392,Arizona,125.0,0,1879.2918662077223
393,Arizona,128.0,0,1879.2918662077223
394,Arizona,130.0,0,1879.2918662077223
395,Arizona,19.0,0,1879.2918662077223
396,Arizona,24.0,0,1879.2918662077223
397,Arizona,283.0,0,1879.2918662077223
398,Arizona,411.0,0,1879.2918662077223
399,Arizona,11.0,0,1879.2918662077223
400,Arizona,114.0,0,1879.2918662077223
401,Arizona,18.0,0,1879.2918662077223
402,Arizona,21.0,0,1879.2918662077223
403,Arizona,246.0,0,1879.2918662077223
404,Arizona,29.0,0,1879.2918662077223
405,Arizona,332.0,0,1879.2918662077223
406,Arizona,36.0,0,1879.2918662077223
407,Arizona,77.0,0,1879.2918662077223
408,Arizona,84.0,0,1879.2918662077223
409,Arizona,86.0,0,1879.2918662077223
410,Arizona,28.0,0,1879.2918662077223
411,Arizona,19.0,0,1879.2918662077223
412,Arizona,19.0,0,1879.2918662077223
413,Arizona,30.0,0,1879.2918662077223
414,Arizona,40.0,0,1879.2918662077223
415,Arizona,59.0,0,1879.2918662077223
416,Arizona,17.0,0,1879.2918662077223
417,Arizona,14.0,0,1879.2918662077223
418,Arizona,146.0,0,1879.2918662077223
419,Arizona,15.0,0,1879.2918662077223
420,Arizona,184.0,0,1879.2918662077223
421,Arizona,21.0,0,1879.2918662077223
422,Arizona,26.0,0,1879.2918662077223
423,Arizona,38.0,0,1879.2918662077223
424,Arizona,47.0,0,1879.2918662077223
425,Arizona,82.0,0,1879.2918662077223
426,Arizona,10.0,0,1879.2918662077223
427,Arizona,15.0,0,1879.2918662077223
428,Arizona,20.0,0,1879.2918662077223
429,Arizona,248.0,0,1879.2918662077223
430,Arizona,320.0,0,1879.2918662077223
431,Arizona,70.0,0,1879.2918662077223
432,Arizona,71.0,0,1879.2918662077223
433,Arizona,73.0,0,1879.2918662077223
434,Arizona,80.0,0,1879.2918662077223
435,Arizona,81.0,0,1879.2918662077223
436,Arizona,22.0,0,1879.2918662077223
437,Arizona,23.0,0,1879.2918662077223
438,Arizona,24.0,0,1879.2918662077223
439,Arizona,45.0,0,1879.2918662077223
440,Arizona,77.0,0,1879.2918662077223
441,Arizona,99.0,0,1879.2918662077223
442,Arizona,16.0,0,1879.2918662077223
443,Arizona,143.0,0,1879.2918662077223
444,Arizona,195.0,0,1879.2918662077223
445,Arizona,41.0,0,1879.2918662077223
